PERF: core14: instrs=14339, cycles=174774, IPC=0.082043
PERF: core15: instrs=14339, cycles=174073, IPC=0.082373
PERF: instrs=285240, cycles=366703, IPC=0.777850
PERF: core0: instrs=42102, cycles=364887, IPC=0.115384
PERF: core1: instrs=42440, cycles=365994, IPC=0.115958
PERF: core2: instrs=14342, cycles=174430, IPC=0.082222
PERF: core3: instrs=14339, cycles=175316, IPC=0.081789
PERF: core4: instrs=14342, cycles=171585, IPC=0.083585
PERF: core5: instrs=14339, cycles=173490, IPC=0.082650
PERF: core6: instrs=14339, cycles=174862, IPC=0.082002
PERF: core7: instrs=14339, cycles=172369, IPC=0.083188
PERF: core8: instrs=14339, cycles=176905, IPC=0.081055
PERF: core9: instrs=14339, cycles=176567, IPC=0.081210
PERF: core10: instrs=14342, cycles=176519, IPC=0.081249
PERF: core11: instrs=14339, cycles=176544, IPC=0.081221
PERF: core12: instrs=14339, cycles=175288, IPC=0.081803
PERF: core13: instrs=14342, cycles=171041, IPC=0.083851
PERF: core14: instrs=14339, cycles=174782, IPC=0.082039
PERF: core15: instrs=14339, cycles=174081, IPC=0.082370
PERF: instrs=285300, cycles=365994, IPC=0.779521
PERF: core0: instrs=45802, cycles=387519, IPC=0.118193
PERF: core1: instrs=46200, cycles=389485, IPC=0.118618
PERF: core2: instrs=14342, cycles=174468, IPC=0.082204
PERF: core3: instrs=14339, cycles=175414, IPC=0.081744
PERF: core4: instrs=14342, cycles=171621, IPC=0.083568
PERF: core5: instrs=14339, cycles=173526, IPC=0.082633
PERF: core6: instrs=14339, cycles=174898, IPC=0.081985
PERF: core7: instrs=14339, cycles=172405, IPC=0.083170
PERF: core8: instrs=14339, cycles=176849, IPC=0.081080
PERF: core9: instrs=14339, cycles=176504, IPC=0.081239
PERF: core10: instrs=14339, cycles=176478, IPC=0.081251
PERF: core11: instrs=14342, cycles=176455, IPC=0.081279
PERF: core12: instrs=14339, cycles=175388, IPC=0.081756
PERF: core13: instrs=14342, cycles=171077, IPC=0.083834
PERF: core14: instrs=14339, cycles=174818, IPC=0.082022
PERF: core15: instrs=14339, cycles=174117, IPC=0.082353
PERF: instrs=292760, cycles=389485, IPC=0.751659
PERF: core0: instrs=45804, cycles=387439, IPC=0.118222
PERF: core1: instrs=46200, cycles=389417, IPC=0.118639
PERF: core2: instrs=14342, cycles=174466, IPC=0.082205
PERF: core3: instrs=14339, cycles=175352, IPC=0.081773
PERF: core4: instrs=14342, cycles=171621, IPC=0.083568
PERF: core5: instrs=14339, cycles=173526, IPC=0.082633
PERF: core6: instrs=14339, cycles=174898, IPC=0.081985
PERF: core7: instrs=14339, cycles=172405, IPC=0.083170
PERF: core8: instrs=14339, cycles=176941, IPC=0.081038
PERF: core9: instrs=14339, cycles=176603, IPC=0.081193
PERF: core10: instrs=14342, cycles=176555, IPC=0.081232
PERF: core11: instrs=14339, cycles=176580, IPC=0.081204
PERF: core12: instrs=14339, cycles=175324, IPC=0.081786
PERF: core13: instrs=14342, cycles=171077, IPC=0.083834
PERF: core14: instrs=14339, cycles=174818, IPC=0.082022
PERF: core15: instrs=14339, cycles=174117, IPC=0.082353
PERF: instrs=292762, cycles=389417, IPC=0.751796
PERF: core0: instrs=49562, cycles=410834, IPC=0.120638
PERF: core1: instrs=49960, cycles=412749, IPC=0.121042
PERF: core2: instrs=14342, cycles=174451, IPC=0.082212
PERF: core3: instrs=14339, cycles=175397, IPC=0.081752
PERF: core4: instrs=14342, cycles=171604, IPC=0.083576
PERF: core5: instrs=14339, cycles=173509, IPC=0.082641
