PERF: core3: instrs=615514, cycles=9036018, IPC=0.068118
PERF: instrs=2804249, cycles=9300176, IPC=0.301526
PERF: core0: instrs=96330, cycles=627508, IPC=0.153512
PERF: core1: instrs=52641, cycles=434620, IPC=0.121120
PERF: core2: instrs=52641, cycles=434621, IPC=0.121119
PERF: core3: instrs=52641, cycles=434806, IPC=0.121068
PERF: instrs=254253, cycles=627508, IPC=0.405179
PERF: core0: instrs=741458, cycles=9259848, IPC=0.080072
PERF: core1: instrs=722190, cycles=9182252, IPC=0.078651
PERF: core2: instrs=722190, cycles=9194680, IPC=0.078544
PERF: core3: instrs=615128, cycles=8989905, IPC=0.068424
PERF: instrs=2800966, cycles=9259848, IPC=0.302485
PERF: core0: instrs=96307, cycles=619995, IPC=0.155335
PERF: core1: instrs=52641, cycles=428174, IPC=0.122943
PERF: core2: instrs=52641, cycles=427967, IPC=0.123002
PERF: core3: instrs=52641, cycles=427968, IPC=0.123002
PERF: instrs=254230, cycles=619995, IPC=0.410052
PERF: core0: instrs=740481, cycles=9284833, IPC=0.079752
